forecast_date,mean_time_series_loss,mean_network_loss,mean_network_gain,cumulative_network_gain
2025-01-06,0.07675296865055674,0.0766411475302372,0.00011182112031953885,0.00011182112031953885
2025-01-13,0.15416995111202084,0.16260572481360502,-0.008435773701584194,-0.008323952581264655
2025-01-20,0.05553085219454676,0.05143315755489981,0.004097694639646951,-0.004226257941617705
2025-01-27,0.07136232914296382,0.07231268927682387,-0.0009503601338600467,-0.005176618075477752
2025-02-03,0.04376114391081569,0.039952892680962374,0.003808251229853319,-0.0013683668456244327
2025-02-10,0.05274017160974609,0.048236497168649625,0.004503674441096469,0.0031353075954720366
2025-02-17,0.04887487274624095,0.04565430072040185,0.0032205720258391022,0.006355879621311139
2025-02-24,0.10735917393484373,0.11802179544135838,-0.010662621506514636,-0.0043067418852034975
2025-03-03,0.09775254439894687,0.10974156875359681,-0.011989024354649935,-0.016295766239853432
2025-03-10,0.035388345577649256,0.03260451275795744,0.002783832819691814,-0.013511933420161618
2025-03-17,0.06488974469957651,0.06179443188736818,0.003095312812208331,-0.010416620607953286
2025-03-24,0.06412106217785862,0.06617249047730622,-0.00205142829944761,-0.012468048907400896
2025-03-31,0.07416953895174488,0.08396700674738475,-0.009797467795639878,-0.022265516703040774
2025-04-07,0.08220106749054411,0.09345402657123067,-0.01125295908068656,-0.03351847578372733
2025-04-14,0.04692394082404774,0.0434507062508189,0.003473234573228837,-0.030045241210498494
2025-04-21,0.1057761850058247,0.11626727157729003,-0.010491086571465323,-0.04053632778196382
2025-04-28,0.05734296693235012,0.05458131216169302,0.002761654770657103,-0.037774673011306714
2025-05-05,0.0802481616254819,0.07857851091129756,0.0016696507141843366,-0.036105022297122376
2025-05-12,0.03703152409609201,0.03506029333020981,0.0019712307658821967,-0.03413379153124018
2025-05-19,0.0651874609463471,0.06252432439946444,0.0026631365468826607,-0.03147065498435752
2025-05-26,0.05043834976030235,0.07123323529324876,-0.02079488553294641,-0.05226554051730393
2025-06-02,0.047708177933107124,0.04616211722513118,0.0015460607079759497,-0.05071947980932798
2025-06-09,0.057259455546106786,0.061187090456916435,-0.003927634910809653,-0.05464711472013763
2025-06-16,0.08294680226688203,0.08341123229459302,-0.00046443002771099674,-0.05511154474784862
2025-06-23,0.15389773808290974,0.16973174989589737,-0.01583401181298761,-0.07094555656083623
2025-06-30,0.04408061679764119,0.06144172708964933,-0.017361110292008135,-0.08830666685284437
2025-07-07,0.10154995147355453,0.11993149929171745,-0.018381547818162914,-0.10668821467100728
2025-07-14,0.08109734083835787,0.0792372048413869,0.001860135996970982,-0.1048280786740363
2025-07-21,0.0400291722261493,0.03836820368897634,0.0016609685371729663,-0.10316711013686333
2025-07-28,0.06962888481208379,0.08309172252720508,-0.013462837715121297,-0.11662994785198463
2025-08-04,0.08259268997657215,0.07992491787343407,0.0026677721031380715,-0.11396217574884657
2025-08-11,0.04711777726115715,0.0449154890019197,0.0022022882592374476,-0.11175988748960912
2025-08-18,0.20033962831696525,0.19073570156618716,0.009603926750778074,-0.10215596073883104
