model,test_observations,mean_pinball_loss,median_pinball_loss,exceedance_count,exceedance_rate
Historical quantile,132,0.07217309577692994,0.06640903508982263,19,0.14393939393939395
Time-series QR,132,0.07515971488848447,0.06434959912728591,26,0.19696969696969696
Network QR,132,0.07825535006238846,0.06549477677528578,26,0.19696969696969696
