model,selected_specification,mean_validation_loss,mean_test_loss,exceedance_rate
Historical quantile,m=52,0.035223588038680684,0.04099179382973936,0.09848484848484848
Time-series QR,p=4,0.03265402928661729,0.04078440360195576,0.12878787878787878
Network QR,p=4,0.0336777159217142,0.04364139789170388,0.13636363636363635
