category,time_series_mean_pinball_loss,network_mean_pinball_loss,loss_difference_ts_minus_network,relative_improvement_percent
Asset Management,0.048928501335928215,0.04873030589011943,0.00019819544580878395,0.40507156442016135
"Infrastructure, Services & Financial Products",0.07975758415084316,0.08633501048447775,-0.0065774263336345895,-8.246772270828687
"Lending, Borrowing & Real World Assets",0.08821053611765207,0.08597989462174034,0.0022306414959117338,2.528769911268404
Trading & Exchanges,0.08374223794951445,0.09197618925321627,-0.008233951303701817,-9.832494933638872
