date,category,node_count,inflow,outflow,within_sector_exposure,cross_sector_inflow,cross_sector_outflow,activity,log_activity,net_inflow,exposure_shift_ratio,contraction_score
2020-03-23,Asset Management,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-23,"Infrastructure, Services & Financial Products",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-23,"Lending, Borrowing & Real World Assets",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-23,Privacy & Security,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-23,Trading & Exchanges,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-23,Primary Market Tokens,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-23,Other / Unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-30,Asset Management,4,4255269.109700002,4276826.665270002,4255269.109700002,0.0,21557.55556999985,8532095.774970002,15.959345701098128,-21557.55556999985,-0.0025266424731473017,0.0025266424731473017
2020-03-30,"Infrastructure, Services & Financial Products",12,430379.42740999995,119629.48642000009,2712.418379999999,427667.00902999996,116917.06804000009,550008.91383,13.217691582191657,310749.94098999986,0.5649907359247787,-0.5649907359247787
2020-03-30,"Lending, Borrowing & Real World Assets",5,5691259.289260002,4586557.481889999,3121547.02107,2569712.268190002,1465010.4608199988,10277816.77115,16.145498516385892,1104701.8073700033,0.1074840923872976,-0.1074840923872976
2020-03-30,Privacy & Security,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-03-30,Trading & Exchanges,11,6648508.842499999,34156.58207999995,16118.003809999998,6632390.83869,18038.57826999995,6682665.424579999,15.715027631223819,6614352.260419999,0.9897775573338249,-0.9897775573338249
2020-03-30,Primary Market Tokens,14,1373703.3479299985,9394943.27611,0.0,1373703.3479299985,9394943.27611,10768646.62404,16.192149472449636,-8021239.928180003,-0.7448698251712831,0.7448698251712831
2020-03-30,Other / Unknown,1,12993.474969999981,0.0,0.0,12993.474969999981,0.0,12993.474969999981,9.472279543796903,12993.474969999981,1.0,-1.0
2020-04-06,Asset Management,4,7679036.222539999,7681166.214869998,7679036.222539999,0.0,2129.9923299998045,15360202.437409997,16.547290530219136,-2129.9923299998045,-0.0001386695480531023,0.0001386695480531023
2020-04-06,"Infrastructure, Services & Financial Products",12,381759.32311,92808.97085,3978.1550100000004,377781.1681,88830.81584,474568.29396,13.070162922112825,288950.35226,0.6088699054226214,-0.6088699054226214
2020-04-06,"Lending, Borrowing & Real World Assets",5,18513191.45086,10360319.47314,9639322.38428,8873869.066580001,720997.0888599996,28873510.924000002,17.178435190378686,8152871.977720002,0.28236510617568295,-0.28236510617568295
2020-04-06,Privacy & Security,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-04-06,Trading & Exchanges,12,7780746.525710001,71128.94719999998,21658.708170000005,7759087.81754,49470.239029999975,7851875.472910001,15.876263102327844,7709617.57851,0.9818823038023452,-0.9818823038023452
2020-04-06,Primary Market Tokens,14,590406.02872,16743068.61902,0.0,590406.02872,16743068.61902,17333474.64774,16.668150198290423,-16152662.5903,-0.9318767828472315,0.9318767828472315
2020-04-06,Other / Unknown,1,3352.6741400000174,0.0,0.0,3352.6741400000174,0.0,3352.6741400000174,8.117811782028182,3352.6741400000174,1.0,-1.0
2020-04-13,Asset Management,4,26565731.975239996,26539541.991919998,26539530.283699997,26201.691539999098,11.70822000131011,53105273.967159994,17.787786821526087,26189.983319997787,0.0004931710424127278,-0.0004931710424127278
2020-04-13,"Infrastructure, Services & Financial Products",12,932686.1576899999,345227.1331900001,181803.85403,750882.30366,163423.2791600001,1277913.29088,14.060739846631533,587459.0244999998,0.4597017878227577,-0.4597017878227577
2020-04-13,"Lending, Borrowing & Real World Assets",5,12428175.535799999,4328028.749419999,1059360.3233700008,11368815.212429998,3268668.4260499985,16756204.285219997,16.634279212419468,8100146.7863799995,0.48341179472995727,-0.48341179472995727
2020-04-13,Privacy & Security,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-04-13,Trading & Exchanges,14,10185679.337249992,1445684.985800001,23145.828180000004,10162533.509069992,1422539.1576200011,11631364.323049994,16.2692159142553,8739994.35144999,0.7514160943381211,-0.7514160943381211
2020-04-13,Primary Market Tokens,15,4245980.93804,21700436.82203999,0.0,4245980.93804,21700436.82203999,25946417.76007999,17.071544152660643,-17454455.883999992,-0.6727115876032276,0.6727115876032276
2020-04-13,Other / Unknown,1,665.7383499999996,0.0,0.0,665.7383499999996,0.0,665.7383499999996,6.502397690093574,665.7383499999996,1.0,-1.0
2020-04-20,Asset Management,4,113025555.79594001,113034320.31102002,113025555.79594001,0.0,8764.51508000493,226059876.10696003,19.236310465096526,-8764.51508000493,-3.877076830679146e-05,3.877076830679146e-05
2020-04-20,"Infrastructure, Services & Financial Products",12,274281.5220500001,156078.35093999995,7031.605660000005,267249.9163900001,149046.74527999994,430359.87299000006,12.972379375216802,118203.17111000014,0.27466122779701335,-0.27466122779701335
2020-04-20,"Lending, Borrowing & Real World Assets",5,9406457.225030005,10972969.006770002,5102780.377880001,4303676.847150004,5870188.62889,20379426.231800005,16.83003648093801,-1566511.7817399967,-0.07686731529740595,0.07686731529740595
2020-04-20,Privacy & Security,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-04-20,Trading & Exchanges,14,13246535.920009999,803381.1104700002,3915.3628200000026,13242620.55719,799465.7476500002,14049917.03048,16.458127119597474,12443154.809539998,0.8856390242409062,-0.8856390242409062
2020-04-20,Primary Market Tokens,19,6300728.410800001,17286810.094630003,0.0,6300728.410800001,17286810.094630003,23587538.505430005,16.976229143503538,-10986081.683830002,-0.46575786961835525,0.46575786961835525
2020-04-20,Other / Unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-04-27,Asset Management,4,192230746.43829998,192258215.67255,192223856.04178,6890.396519988775,34359.630769997835,384488962.11085,19.767425641974842,-27469.23425000906,-7.144349241965898e-05,7.144349241965898e-05
2020-04-27,"Infrastructure, Services & Financial Products",12,358485.91790999996,264131.77665999986,23228.25867000002,335257.65923999995,240903.51798999985,622617.6945699998,13.341689563153054,94354.1412500001,0.15154426556277711,-0.15154426556277711
2020-04-27,"Lending, Borrowing & Real World Assets",5,17307830.25897,12362171.05197,4650600.590849999,12657229.66812,7711570.46112,29670001.310939997,17.205647070155106,4945659.207,0.16668887726595497,-0.16668887726595497
2020-04-27,Privacy & Security,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-04-27,Trading & Exchanges,14,10717791.176970001,58284.37475999992,30780.542559999998,10687010.634410001,27503.83219999992,10776075.551730001,16.192839100956718,10659506.802210001,0.9891826343495442,-0.9891826343495442
2020-04-27,Primary Market Tokens,21,7818804.29663,23490855.21284,0.0,7818804.29663,23490855.21284,31309659.509469997,17.25943725036517,-15672050.91621,-0.5005500271080812,0.5005500271080812
2020-04-27,Other / Unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-05-04,Asset Management,4,57877709.62197995,57898690.23214995,57876578.893399954,1130.7285799980164,22111.338749997318,115776399.85412991,18.56717131005603,-20980.6101699993,-0.00018121663997527465,0.00018121663997527465
2020-05-04,"Infrastructure, Services & Financial Products",12,74441.87915000002,1218592.3708300001,7148.563389999988,67293.31576000003,1211443.8074400001,1293034.24998,14.072502919547896,-1144150.4916800002,-0.8848570652306366,0.8848570652306366
2020-05-04,"Lending, Borrowing & Real World Assets",5,16289382.283569999,7453600.44593,6647045.16735,9642337.11622,806555.2785800006,23742982.7295,16.982797622883485,8835781.837639999,0.3721428743096285,-0.3721428743096285
2020-05-04,Privacy & Security,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-05-04,Trading & Exchanges,15,6339310.401520003,1734040.2826099999,64416.14831,6274894.253210003,1669624.1342999998,8073350.684130003,15.904079280432153,4605270.1189100025,0.5704285988669738,-0.5704285988669738
2020-05-04,Primary Market Tokens,19,948725.0680300004,13224645.922730003,0.0,948725.0680300004,13224645.922730003,14173370.990760002,16.466875550242204,-12275920.854700003,-0.866125698868886,0.866125698868886
2020-05-04,Other / Unknown,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-05-11,Asset Management,4,60226270.026700005,60236502.211770006,60225914.64932001,355.3773799985647,10587.562449999154,120462772.23847002,18.606851327384163,-10232.185070000589,-8.494064082922475e-05,8.494064082922475e-05
2020-05-11,"Infrastructure, Services & Financial Products",12,225072.49792999984,103394.40356999986,27564.485329999992,197508.01259999984,75829.91823999987,328466.9014999997,12.702194399803874,121678.09435999997,0.37044248234551597,-0.37044248234551597
2020-05-11,"Lending, Borrowing & Real World Assets",5,8022693.861399996,553371.5093199986,177169.85289999843,7845524.008499998,376201.65642000013,8576065.370719995,15.964485901385908,7469322.352079998,0.8709497921484382,-0.8709497921484382
2020-05-11,Privacy & Security,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2020-05-11,Trading & Exchanges,15,13917579.477330005,681812.78315,17329.553759999995,13900249.923570005,664483.22939,14599392.260480005,16.496490528313657,13235766.694180004,0.9065971006210113,-0.9065971006210113
