date,category,node_count,inflow,outflow,within_sector_exposure,cross_sector_inflow,cross_sector_outflow,activity,log_activity,net_inflow,exposure_shift_ratio,contraction_score,network_degree,network_pressure,connection_concentration,forecast_date,target_contraction_next_week,contraction_lag_1,contraction_lag_2,contraction_lag_3,contraction_lag_4,sample
2020-03-23,Asset Management,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,2020-03-30,0.0025266424731473,,,,,training
2020-03-30,Asset Management,4,4255269.109700002,4276826.665270002,4255269.109700002,0.0,21557.55556999985,8532095.774970002,15.959345701098128,-21557.55556999985,-0.0025266424731473,0.0025266424731473,1,-0.5649907359247787,1.0,2020-04-06,0.0001386695480531,0.0025266424731473,,,,training
2020-04-06,Asset Management,4,7679036.222539999,7681166.214869998,7679036.222539999,0.0,2129.9923299998045,15360202.437409995,16.547290530219136,-2129.9923299998045,-0.0001386695480531,0.0001386695480531,1,-0.6088699054226214,1.0,2020-04-13,-0.0004931710424127,0.0001386695480531,0.0025266424731473,,,training
2020-04-13,Asset Management,4,26565731.97524,26539541.99192,26539530.2837,26201.691539999098,11.70822000131011,53105273.96716,17.787786821526087,26189.983319997787,0.0004931710424127,-0.0004931710424127,2,-0.45983208207337384,0.9991070986115154,2020-04-20,3.877076830679146e-05,-0.0004931710424127,0.0001386695480531,0.0025266424731473,,training
2020-04-20,Asset Management,4,113025555.79594,113034320.31102002,113025555.79594,0.0,8764.51508000493,226059876.10696003,19.23631046509653,-8764.51508000493,-3.877076830679146e-05,3.877076830679146e-05,2,-0.27473092006596844,0.9997718924655263,2020-04-27,7.144349241965898e-05,3.877076830679146e-05,-0.0004931710424127,0.0001386695480531,0.0025266424731473,training
2020-04-27,Asset Management,4,192230746.4383,192258215.67255,192223856.04178,6890.396519988775,34359.630769997835,384488962.11085,19.76742564197484,-27469.23425000906,-7.144349241965898e-05,7.144349241965898e-05,2,-0.8492636844606067,0.7217249827398948,2020-05-04,0.0001812166399752,7.144349241965898e-05,3.877076830679146e-05,-0.0004931710424127,0.0001386695480531,training
2020-05-04,Asset Management,4,57877709.62197995,57898690.23214995,57876578.893399954,1130.7285799980164,22111.33874999732,115776399.85412993,18.56717131005603,-20980.6101699993,-0.0001812166399752,0.0001812166399752,2,-0.49962882580481394,0.9074334893023492,2020-05-11,8.494064082922475e-05,0.0001812166399752,7.144349241965898e-05,3.877076830679146e-05,-0.0004931710424127,training
2020-05-11,Asset Management,4,60226270.026700005,60236502.211770006,60225914.64932001,355.3773799985647,10587.562449999154,120462772.23847002,18.606851327384163,-10232.185070000589,-8.494064082922475e-05,8.494064082922475e-05,2,-0.8911261571902265,0.9439545123012303,2020-05-18,9.195448464188872e-05,8.494064082922475e-05,0.0001812166399752,7.144349241965898e-05,3.877076830679146e-05,training
2020-05-18,Asset Management,4,199463000.59797,199499687.0063,199406343.7292,56656.86877000332,93343.2770999968,398962687.60427,19.80437845821159,-36686.40832999349,-9.195448464188872e-05,9.195448464188872e-05,3,-0.011469759719180211,0.46069437739410535,2020-05-25,0.001467752425789,9.195448464188872e-05,8.494064082922475e-05,0.0001812166399752,7.144349241965898e-05,training
2020-05-25,Asset Management,4,126773622.44724004,127146314.04999006,126773622.44724004,0.0,372691.60275000334,253919936.4972301,19.35252956859092,-372691.60275000334,-0.001467752425789,0.001467752425789,3,0.14373298950732138,0.6956575832671588,2020-06-01,0.0016389424216053,0.001467752425789,9.195448464188872e-05,8.494064082922475e-05,0.0001812166399752,training
2020-06-01,Asset Management,4,103016930.09893002,103355162.07543002,102643285.78640002,373644.312529996,711876.2890300006,206372092.17436004,19.14519137494176,-338231.97650000453,-0.0016389424216053,0.0016389424216053,3,-0.23983400995572857,0.507375788731208,2020-06-08,-0.0016754535966944,0.0016389424216053,0.001467752425789,9.195448464188872e-05,8.494064082922475e-05,training
2020-06-08,Asset Management,4,19805916.585300025,19739659.807100024,19736397.429880023,69519.1554200016,3262.377220001072,39545576.39240005,17.492964422724246,66256.77820000052,0.0016754535966944,-0.0016754535966944,3,-0.13665382297650971,0.5743438784768289,2020-06-15,0.0195471705260356,-0.0016754535966944,0.0016389424216053,0.001467752425789,9.195448464188872e-05,training
2020-06-15,Asset Management,4,13879491.086029986,14432918.585889986,13779725.439859986,99765.6461699996,653193.1460299995,28312409.67191997,17.158810806126876,-553427.4998599999,-0.0195471705260356,0.0195471705260356,3,0.21395269015515977,0.4138165618313462,2020-06-22,0.0520456441577484,0.0195471705260356,-0.0016754535966944,0.0016389424216053,0.001467752425789,training
2020-06-22,Asset Management,5,36950840.68132001,41008272.96923001,36470194.28692001,480646.3944000006,4538078.68231,77959113.65055002,18.17169507608135,-4057432.28791,-0.0520456441577484,0.0520456441577484,3,-0.7019977137230233,0.8228364996531522,2020-06-29,0.0046354959847067,0.0520456441577484,0.0195471705260356,-0.0016754535966944,0.0016389424216053,training
2020-06-29,Asset Management,5,46574581.77949,47008385.24738,46522047.54442,52534.23506999761,486337.7029599994,93582967.02687,18.354358959365197,-433803.4678900018,-0.0046354959847067,0.0046354959847067,3,-0.3240031154214395,0.5910788171609979,2020-07-06,0.0202968394724062,0.0046354959847067,0.0520456441577484,0.0195471705260356,-0.0016754535966944,training
2020-07-06,Asset Management,5,26720398.15373997,27827549.08233997,26662644.11413997,57754.039599999785,1164904.968199998,54547947.236079946,17.814590656998494,-1107150.9285999984,-0.0202968394724062,0.0202968394724062,3,-0.5559933227959026,0.8934307592018625,2020-07-13,-0.0045413756495841,0.0202968394724062,0.0046354959847067,0.0520456441577484,0.0195471705260356,training
2020-07-13,Asset Management,6,10411105.60483002,10316971.61966002,10316971.61966002,94133.9851699993,0.0,20728077.22449004,16.8469997750731,94133.9851699993,0.0045413756495841,-0.0045413756495841,3,-0.13762859707542546,0.38583538702673015,2020-07-20,0.0340131343104588,-0.0045413756495841,0.0202968394724062,0.0046354959847067,0.0520456441577484,training
2020-07-20,Asset Management,6,46569174.72062999,49848647.04216999,46567516.85523999,1657.8653900027275,3281130.186930001,96417821.76279998,18.384201625923478,-3279472.321539998,-0.0340131343104588,0.0340131343104588,3,-0.7323166728433675,0.990913507484938,2020-07-27,0.0142339139297251,0.0340131343104588,-0.0045413756495841,0.0202968394724062,0.0046354959847067,training
2020-07-27,Asset Management,7,35157833.32546001,36173152.437330015,34473332.79526001,684500.5301999971,1699819.6420700029,71330985.76279002,18.0828413879282,-1015319.1118700056,-0.0142339139297251,0.0142339139297251,3,-0.6499225442957556,0.9753781160079908,2020-08-03,0.0190878397054868,0.0142339139297251,0.0340131343104588,-0.0045413756495841,0.0202968394724062,training
2020-08-03,Asset Management,9,32396457.886140045,33657281.067230046,31091871.738840044,1304586.1473000012,2565409.3283900023,66053738.953370094,18.005979210393477,-1260823.181090001,-0.0190878397054868,0.0190878397054868,3,-0.0964650180015615,0.9302111166445584,2020-08-10,-0.0125639030793945,0.0190878397054868,0.0142339139297251,0.0340131343104588,-0.0045413756495841,training
2020-08-10,Asset Management,9,111090641.24461997,108333813.65994996,108162000.30693996,2928640.937680006,171813.3530099988,219424454.90456992,19.206518566797453,2756827.584670007,0.0125639030793945,-0.0125639030793945,3,-0.7236923302902253,0.9049396198076914,2020-08-17,0.142832480668437,-0.0125639030793945,0.0190878397054868,0.0142339139297251,0.0340131343104588,training
2020-08-17,Asset Management,9,17185874.08460002,22913345.02254002,17184099.92720002,1774.1574000008404,5729245.095340002,40099219.10714004,17.506867443387918,-5727470.9379400015,-0.142832480668437,0.142832480668437,3,-0.6873231511078952,0.9218840467911201,2020-08-24,0.0816800485500354,0.142832480668437,-0.0125639030793945,0.0190878397054868,0.0142339139297251,training
2020-08-24,Asset Management,9,50365888.85754998,59325485.653099984,49712625.62625998,653263.2312899977,9612860.02684,109691374.51064996,18.513181303291116,-8959596.795550004,-0.0816800485500354,0.0816800485500354,3,-0.7500489875050621,0.8842448615981263,2020-08-31,-0.0386041448496856,0.0816800485500354,0.142832480668437,-0.0125639030793945,0.0190878397054868,training
2020-08-31,Asset Management,10,58038048.53860001,53723586.20242001,49941493.36162001,8096555.176980004,3782092.840800002,111761634.74102002,18.53187890899968,4314462.3361800015,0.0386041448496856,-0.0386041448496856,3,-0.25702616177153004,0.8626799674706,2020-09-07,0.0378234246521012,-0.0386041448496856,0.0816800485500354,0.142832480668437,-0.0125639030793945,training
2020-09-07,Asset Management,11,41814183.95291999,45101637.99545999,37887665.11423999,3926518.838679999,7213972.881219998,86915821.94837998,18.280450655920497,-3287454.042539999,-0.0378234246521012,0.0378234246521012,3,-0.05454792452218261,0.9927402376385981,2020-09-14,-0.1846507714731246,0.0378234246521012,-0.0386041448496856,0.0816800485500354,0.142832480668437,training
