source_category,Asset Management,"Infrastructure, Services & Financial Products","Lending, Borrowing & Real World Assets",Privacy & Security,Trading & Exchanges,Primary Market Tokens,Other / Unknown
Asset Management,0.4325517583648558,0.05568656080797336,0.11259394783079496,3.2671753936360275e-05,0.07446711548108025,0.2994971669908551,0.025170778770504033
"Infrastructure, Services & Financial Products",0.06647878557520162,0.162567898240396,0.06857425425465308,9.258490375122172e-05,0.4790857085943383,0.16749642810140622,0.05570434033025349
"Lending, Borrowing & Real World Assets",0.08140340311367741,0.05629203999387559,0.22254338784030717,7.103255408868954e-05,0.05011162738247493,0.565403453091555,0.024175056024021098
Privacy & Security,0.007999836964730988,0.025876636423701183,0.02103126851028908,0.36696396142994947,0.010985654273688096,0.5504995560153823,0.016643086382258903
Trading & Exchanges,0.048734964067454256,0.2231650149247937,0.03397304728569254,3.559011714246401e-05,0.11310238441065971,0.5689553761732279,0.01203362302102943
Primary Market Tokens,0.1529893582001145,0.07352485209285567,0.3137892347582228,0.0014818698775176354,0.40807287839159295,0.0,0.050141806679696296
Other / Unknown,0.08567220308211639,0.15353876918606188,0.16720718795462866,0.00047434294830258185,0.09864182854856654,0.30396825640736985,0.19049741187295413
