source_category,Asset Management,"Infrastructure, Services & Financial Products","Lending, Borrowing & Real World Assets",Privacy & Security,Trading & Exchanges,Primary Market Tokens,Other / Unknown
Asset Management,419140799233.9041,53960038659.59024,109103052686.91805,31658789.479960002,72158315613.77223,290211470681.27673,24390376705.64704
"Infrastructure, Services & Financial Products",62964892629.51877,153974988699.72433,64949600371.523575,87691110.3801,453762503947.3044,158643009495.153,52759956090.427505
"Lending, Borrowing & Real World Assets",84148819231.50677,58190548753.8701,230048899655.82578,73428202.32238,51801695171.340996,584472284292.9513,24990385431.872643
Privacy & Security,38264803.68993,123773074.03562999,100596720.21372,1755261264.3610601,52546558.89131,2633148342.29632,79607176.49864
Trading & Exchanges,70720542094.53412,323840411786.7368,49299150345.57078,51645721.417569995,164125737871.38245,825625572943.4478,17462295493.448204
Primary Market Tokens,327954011536.7617,157610767671.55847,672650957731.3385,3176594611.70963,874761088237.4161,0.0,107485950916.91081
Other / Unknown,20417655738.09797,36591818803.67321,39849317255.455284,113046830.49826,23508615679.588318,72442624227.68379,45399913095.41273
